# Logfile created on 2026-09-25 16:57:26 +0200 by logger.rb/v1.5.3
2026-09-25 16:57:26 +0200: Memory Usage (457504K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/unicasss-tools/SG13G2_2.4GHz_LC_VCO_FPLL/gds/blocks/BANDGAP_REF.gds
2026-09-25 16:57:26 +0200: Memory Usage (457504K) : Ruby Version for klayout: 3.2.3
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : Loading database to memory is complete.
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/unicasss-tools/SG13G2_2.4GHz_LC_VCO_FPLL/drc/drc_run_BANDGAP_REF/BANDGAP_REF_BANDGAP_REF_main.lyrdb
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : Evaluate switches.
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : tables selected: main
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : deep mode is enabled.
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : FEOL enabled: true
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : BEOL enabled: true
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : OFFGRID enabled: true
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : ANGLE enabled: true
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : PIN enabled: true
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : FORBIDDEN enabled: true
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : RECOMMENDED enabled: true
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : PreCheck DRC enabled: false
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 16:57:26 +0200: Memory Usage (459168K) : Read in polygons from layers.
2026-09-25 16:57:26 +0200: Memory Usage (460704K) : activ_drw has 61 polygons
2026-09-25 16:57:26 +0200: Memory Usage (460704K) : activ_pin has 0 polygons
2026-09-25 16:57:26 +0200: Memory Usage (460832K) : activ_mask has 0 polygons
2026-09-25 16:57:26 +0200: Memory Usage (460832K) : activ_filler has 0 polygons
2026-09-25 16:57:26 +0200: Memory Usage (460960K) : activ_nofill has 0 polygons
2026-09-25 16:57:26 +0200: Memory Usage (460960K) : activ_opc has 0 polygons
2026-09-25 16:57:26 +0200: Memory Usage (460960K) : activ_iopc has 0 polygons
2026-09-25 16:57:26 +0200: Memory Usage (461088K) : activ_noqrc has 0 polygons
2026-09-25 16:57:26 +0200: Memory Usage (461088K) : biwind_drw has 0 polygons
2026-09-25 16:57:26 +0200: Memory Usage (461088K) : biwind_opc has 0 polygons
2026-09-25 16:57:26 +0200: Memory Usage (461088K) : pemwind_drw has 0 polygons
2026-09-25 16:57:26 +0200: Memory Usage (461088K) : gatpoly_drw has 90 polygons
