# Logfile created on 2026-09-25 16:57:48 +0200 by logger.rb/v1.5.3
2026-09-25 16:57:48 +0200: Memory Usage (456084K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/unicasss-tools/SG13G2_2.4GHz_LC_VCO_FPLL/gds/blocks/DSM_N_FREQ_DIV.gds
2026-09-25 16:57:48 +0200: Memory Usage (456084K) : Ruby Version for klayout: 3.2.3
2026-09-25 16:57:48 +0200: Memory Usage (457236K) : Loading database to memory is complete.
2026-09-25 16:57:48 +0200: Memory Usage (457236K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/unicasss-tools/SG13G2_2.4GHz_LC_VCO_FPLL/drc/drc_run_DSM_N_FREQ_DIV/DSM_N_FREQ_DIV_DSM_N_FREQ_DIV_main.lyrdb
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : Evaluate switches.
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : tables selected: main
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : deep mode is enabled.
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : FEOL enabled: true
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : BEOL enabled: true
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : OFFGRID enabled: true
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : ANGLE enabled: true
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : PIN enabled: true
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : FORBIDDEN enabled: true
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : RECOMMENDED enabled: true
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : PreCheck DRC enabled: false
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 16:57:48 +0200: Memory Usage (457364K) : Read in polygons from layers.
2026-09-25 16:57:48 +0200: Memory Usage (458644K) : activ_drw has 2432 polygons
2026-09-25 16:57:48 +0200: Memory Usage (458644K) : activ_pin has 0 polygons
2026-09-25 16:57:48 +0200: Memory Usage (458644K) : activ_mask has 0 polygons
2026-09-25 16:57:48 +0200: Memory Usage (458644K) : activ_filler has 0 polygons
2026-09-25 16:57:48 +0200: Memory Usage (458644K) : activ_nofill has 0 polygons
2026-09-25 16:57:48 +0200: Memory Usage (458644K) : activ_opc has 0 polygons
2026-09-25 16:57:48 +0200: Memory Usage (458644K) : activ_iopc has 0 polygons
2026-09-25 16:57:48 +0200: Memory Usage (458772K) : activ_noqrc has 0 polygons
2026-09-25 16:57:48 +0200: Memory Usage (458772K) : biwind_drw has 0 polygons
2026-09-25 16:57:48 +0200: Memory Usage (458772K) : biwind_opc has 0 polygons
2026-09-25 16:57:48 +0200: Memory Usage (458900K) : pemwind_drw has 0 polygons
