# Logfile created on 2026-09-25 16:58:21 +0200 by logger.rb/v1.5.3
2026-09-25 16:58:21 +0200: Memory Usage (455360K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/unicasss-tools/SG13G2_2.4GHz_LC_VCO_FPLL/gds/blocks/LC_VCO.gds
2026-09-25 16:58:21 +0200: Memory Usage (455360K) : Ruby Version for klayout: 3.2.3
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : Loading database to memory is complete.
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/unicasss-tools/SG13G2_2.4GHz_LC_VCO_FPLL/drc/drc_run_LC_VCO/LC_VCO_LC_VCO_main.lyrdb
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : Evaluate switches.
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : tables selected: main
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : deep mode is enabled.
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : FEOL enabled: true
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : BEOL enabled: true
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : OFFGRID enabled: true
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : ANGLE enabled: true
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : PIN enabled: true
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : FORBIDDEN enabled: true
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : RECOMMENDED enabled: true
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : PreCheck DRC enabled: false
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 16:58:22 +0200: Memory Usage (459456K) : Read in polygons from layers.
2026-09-25 16:58:22 +0200: Memory Usage (461120K) : activ_drw has 371 polygons
2026-09-25 16:58:22 +0200: Memory Usage (461248K) : activ_pin has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (461248K) : activ_mask has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (461376K) : activ_filler has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (461376K) : activ_nofill has 1 polygons
2026-09-25 16:58:22 +0200: Memory Usage (461504K) : activ_opc has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (461504K) : activ_iopc has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (461632K) : activ_noqrc has 1 polygons
2026-09-25 16:58:22 +0200: Memory Usage (461632K) : biwind_drw has 0 polygons
