# Logfile created on 2026-09-25 16:56:45 +0200 by logger.rb/v1.5.3
2026-09-25 16:56:45 +0200: Memory Usage (456628K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/unicasss-tools/SG13G2_2.4GHz_LC_VCO_FPLL/gds/blocks/LOOP_FILTER.gds
2026-09-25 16:56:45 +0200: Memory Usage (456628K) : Ruby Version for klayout: 3.2.3
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : Loading database to memory is complete.
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/unicasss-tools/SG13G2_2.4GHz_LC_VCO_FPLL/drc/drc_run_LOOP_FILTER/LOOP_FILTER_LOOP_FILTER_main.lyrdb
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : Evaluate switches.
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : tables selected: main
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : deep mode is enabled.
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : FEOL enabled: true
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : BEOL enabled: true
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : OFFGRID enabled: true
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : ANGLE enabled: true
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : PIN enabled: true
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : FORBIDDEN enabled: true
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : RECOMMENDED enabled: true
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : PreCheck DRC enabled: false
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : CONNECTIVITY_RULES enabled: true.
2026-09-25 16:56:45 +0200: Memory Usage (457524K) : Read in polygons from layers.
2026-09-25 16:56:45 +0200: Memory Usage (458804K) : activ_drw has 15 polygons
2026-09-25 16:56:45 +0200: Memory Usage (458804K) : activ_pin has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (458932K) : activ_mask has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (458932K) : activ_filler has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (458932K) : activ_nofill has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (458932K) : activ_opc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (458932K) : activ_iopc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459060K) : activ_noqrc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459188K) : biwind_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459188K) : biwind_opc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459316K) : pemwind_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459316K) : gatpoly_drw has 80 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459444K) : gatpoly_pin has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459444K) : gatpoly_filler has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459444K) : gatpoly_nofill has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459572K) : gatpoly_opc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459572K) : gatpoly_iopc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459700K) : gatpoly_noqrc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459828K) : cont_drw has 953 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459956K) : cont_opc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459956K) : nsd_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459956K) : nsd_block has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459956K) : metal1_drw has 147 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459956K) : metal1_pin has 40 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459956K) : metal1_mask has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459956K) : metal1_filler has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459956K) : metal1_nofill has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (459956K) : metal1_slit has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460084K) : metal1_text has 1 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460340K) : metal1_opc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460340K) : metal1_noqrc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460340K) : metal1_res has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460340K) : metal1_iprobe has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460468K) : metal1_diffprb has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460468K) : passiv_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460468K) : passiv_pin has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460468K) : passiv_sbump has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460596K) : passiv_pillar has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460596K) : passiv_pdl has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460724K) : metal2_drw has 16 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460724K) : metal2_pin has 1 polygons
2026-09-25 16:56:45 +0200: Memory Usage (460852K) : metal2_mask has 0 polygons
