# Logfile created on 2026-04-11 04:23:50 +0200 by logger.rb/v1.4.3
2026-04-11 04:23:50 +0200: Memory Usage (431244K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/frac-n-pll-vco-unic_cass/layout/Final_Inductor_Layout.gds
2026-04-11 04:23:50 +0200: Memory Usage (431244K) : Ruby Version for klayout: 3.0.2
2026-04-11 04:23:50 +0200: Memory Usage (432268K) : Loading database to memory is complete.
2026-04-11 04:23:50 +0200: Memory Usage (432268K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/frac-n-pll-vco-unic_cass/drc_run_Final_Inductor_Layoutstruct/Final_Inductor_Layout_Final_Inductor_Layoutstruct_main.lyrdb
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : Evaluate switches.
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : tables selected: main
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : deep mode is enabled.
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : FEOL enabled: true
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : BEOL enabled: true
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : OFFGRID enabled: true
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : ANGLE enabled: true
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : PIN enabled: true
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : FORBIDDEN enabled: true
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : RECOMMENDED enabled: true
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : PreCheck DRC enabled: false
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : CONNECTIVITY_RULES enabled: true.
2026-04-11 04:23:50 +0200: Memory Usage (432396K) : Read in polygons from layers.
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : activ_drw has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : activ_pin has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : activ_mask has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : activ_filler has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : activ_nofill has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : activ_opc has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : activ_iopc has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : activ_noqrc has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : biwind_drw has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : biwind_opc has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : pemwind_drw has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : gatpoly_drw has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : gatpoly_pin has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : gatpoly_filler has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : gatpoly_nofill has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : gatpoly_opc has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : gatpoly_iopc has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : gatpoly_noqrc has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : cont_drw has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : cont_opc has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : nsd_drw has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (432780K) : nsd_block has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433292K) : metal1_drw has 2 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433292K) : metal1_pin has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433420K) : metal1_mask has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433420K) : metal1_filler has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433420K) : metal1_nofill has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433420K) : metal1_slit has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433548K) : metal1_text has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433548K) : metal1_opc has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433548K) : metal1_noqrc has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433676K) : metal1_res has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433676K) : metal1_iprobe has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433676K) : metal1_diffprb has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433676K) : passiv_drw has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433804K) : passiv_pin has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433804K) : passiv_sbump has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433804K) : passiv_pillar has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433932K) : passiv_pdl has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433932K) : metal2_drw has 2 polygons
2026-04-11 04:23:50 +0200: Memory Usage (433932K) : metal2_pin has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (434060K) : metal2_mask has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (434060K) : metal2_filler has 0 polygons
2026-04-11 04:23:50 +0200: Memory Usage (434188K) : metal2_nofill has 0 polygons
