# Logfile created on 2026-04-11 05:10:01 +0200 by logger.rb/v1.4.3
2026-04-11 05:10:01 +0200: Memory Usage (431424K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/frac-n-pll-vco-unic_cass/layout/LC_VCO.gds
2026-04-11 05:10:01 +0200: Memory Usage (431424K) : Ruby Version for klayout: 3.0.2
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : Loading database to memory is complete.
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/frac-n-pll-vco-unic_cass/drc_run_LC_VCO/LC_VCO_LC_VCO_main.lyrdb
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : Evaluate switches.
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : tables selected: main
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : deep mode is enabled.
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : FEOL enabled: true
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : BEOL enabled: true
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : OFFGRID enabled: true
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : ANGLE enabled: true
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : PIN enabled: true
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : FORBIDDEN enabled: true
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : RECOMMENDED enabled: true
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : PreCheck DRC enabled: false
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : CONNECTIVITY_RULES enabled: true.
2026-04-11 05:10:01 +0200: Memory Usage (432832K) : Read in polygons from layers.
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : activ_drw has 185 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : activ_pin has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : activ_mask has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : activ_filler has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : activ_nofill has 1 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : activ_opc has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : activ_iopc has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : activ_noqrc has 1 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : biwind_drw has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : biwind_opc has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : pemwind_drw has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : gatpoly_drw has 153 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : gatpoly_pin has 6 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : gatpoly_filler has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : gatpoly_nofill has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : gatpoly_opc has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : gatpoly_iopc has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : gatpoly_noqrc has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : cont_drw has 5026 polygons
2026-04-11 05:10:01 +0200: Memory Usage (433984K) : cont_opc has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434112K) : nsd_drw has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434112K) : nsd_block has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434112K) : metal1_drw has 456 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434240K) : metal1_pin has 26 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434240K) : metal1_mask has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434240K) : metal1_filler has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434240K) : metal1_nofill has 1 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434368K) : metal1_slit has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434496K) : metal1_text has 4 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434496K) : metal1_opc has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434624K) : metal1_noqrc has 1 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434624K) : metal1_res has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434624K) : metal1_iprobe has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434752K) : metal1_diffprb has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434752K) : passiv_drw has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434880K) : passiv_pin has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434880K) : passiv_sbump has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (434880K) : passiv_pillar has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435008K) : passiv_pdl has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435008K) : metal2_drw has 80 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435136K) : metal2_pin has 5 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435136K) : metal2_mask has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435136K) : metal2_filler has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435264K) : metal2_nofill has 1 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435264K) : metal2_slit has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435392K) : metal2_text has 5 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435392K) : metal2_opc has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435392K) : metal2_noqrc has 1 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435520K) : metal2_res has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435520K) : metal2_iprobe has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435520K) : metal2_diffprb has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435648K) : baspoly_drw has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435648K) : baspoly_pin has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435776K) : psd_drw has 37 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435776K) : nldb_drw has 0 polygons
2026-04-11 05:10:01 +0200: Memory Usage (435776K) : digibnd_drw has 0 polygons
