# Logfile created on 2026-04-05 15:16:17 +0200 by logger.rb/v1.5.3
2026-04-05 15:16:17 +0200: Memory Usage (436056K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/frac-n-pll-vco-unic_cass/layout/PFD.gds
2026-04-05 15:16:17 +0200: Memory Usage (436056K) : Ruby Version for klayout: 3.2.3
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : Loading database to memory is complete.
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/frac-n-pll-vco-unic_cass/drc_run_PFD/PFD_PFD_main.lyrdb
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : Evaluate switches.
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : tables selected: main
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : deep mode is enabled.
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : FEOL enabled: true
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : BEOL enabled: true
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : OFFGRID enabled: true
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : PIN enabled: true
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : FORBIDDEN enabled: true
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : RECOMMENDED enabled: true
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : PreCheck DRC enabled: false
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : CONNECTIVITY_RULES enabled: true.
2026-04-05 15:16:17 +0200: Memory Usage (437080K) : Read in polygons from layers.
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : activ_drw has 46 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : activ_pin has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : activ_mask has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : activ_filler has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : activ_nofill has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : activ_opc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : activ_iopc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : activ_noqrc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : biwind_drw has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : biwind_opc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : pemwind_drw has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : gatpoly_drw has 83 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : gatpoly_pin has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : gatpoly_filler has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : gatpoly_nofill has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : gatpoly_opc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : gatpoly_iopc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438616K) : gatpoly_noqrc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438744K) : cont_drw has 343 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438744K) : cont_opc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438744K) : nsd_drw has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438744K) : nsd_block has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438744K) : metal1_drw has 132 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438744K) : metal1_pin has 30 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438744K) : metal1_mask has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438744K) : metal1_filler has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (438872K) : metal1_nofill has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439000K) : metal1_slit has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439384K) : metal1_text has 26 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439384K) : metal1_opc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439384K) : metal1_noqrc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439384K) : metal1_res has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439384K) : metal1_iprobe has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439384K) : metal1_diffprb has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439512K) : passiv_drw has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439512K) : passiv_pin has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439640K) : passiv_sbump has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439640K) : passiv_pillar has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439768K) : passiv_pdl has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439768K) : metal2_drw has 19 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439768K) : metal2_pin has 9 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439896K) : metal2_mask has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (439896K) : metal2_filler has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440024K) : metal2_nofill has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440024K) : metal2_slit has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440152K) : metal2_text has 10 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440152K) : metal2_opc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440152K) : metal2_noqrc has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440280K) : metal2_res has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440408K) : metal2_iprobe has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440408K) : metal2_diffprb has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440536K) : baspoly_drw has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440536K) : baspoly_pin has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440536K) : psd_drw has 12 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440664K) : nldb_drw has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440664K) : digibnd_drw has 0 polygons
2026-04-05 15:16:17 +0200: Memory Usage (440792K) : via1_drw has 11 polygons
