# Logfile created on 2026-03-22 13:50:33 +0100 by logger.rb/v1.5.3
2026-03-22 13:50:33 +0100: Memory Usage (437104K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/frac-n-pll-vco-unic_cass/layout/CP.gds
2026-03-22 13:50:33 +0100: Memory Usage (437104K) : Ruby Version for klayout: 3.2.3
2026-03-22 13:50:33 +0100: Memory Usage (438128K) : Loading database to memory is complete.
2026-03-22 13:50:33 +0100: Memory Usage (438128K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/frac-n-pll-vco-unic_cass/layout/drc_run_CP/CP_CP_main.lyrdb
2026-03-22 13:50:33 +0100: Memory Usage (438256K) : Evaluate switches.
2026-03-22 13:50:33 +0100: Memory Usage (438256K) : tables selected: main
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : deep mode is enabled.
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : FEOL enabled: true
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : BEOL enabled: true
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : OFFGRID enabled: true
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : PIN enabled: true
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : FORBIDDEN enabled: true
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : RECOMMENDED enabled: true
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : PreCheck DRC enabled: false
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : CONNECTIVITY_RULES enabled: true.
2026-03-22 13:50:33 +0100: Memory Usage (438384K) : Read in polygons from layers.
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : activ_drw has 50 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : activ_pin has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : activ_mask has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : activ_filler has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : activ_nofill has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : activ_opc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : activ_iopc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : activ_noqrc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : biwind_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : biwind_opc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : pemwind_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : gatpoly_drw has 96 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : gatpoly_pin has 4 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : gatpoly_filler has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : gatpoly_nofill has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : gatpoly_opc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : gatpoly_iopc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : gatpoly_noqrc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : cont_drw has 600 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : cont_opc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : nsd_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439536K) : nsd_block has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439664K) : metal1_drw has 207 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439664K) : metal1_pin has 89 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439664K) : metal1_mask has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439920K) : metal1_filler has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439920K) : metal1_nofill has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (439920K) : metal1_slit has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (440176K) : metal1_text has 9 polygons
2026-03-22 13:50:33 +0100: Memory Usage (440176K) : metal1_opc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (440304K) : metal1_noqrc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (440304K) : metal1_res has 0 polygons
