# Logfile created on 2026-03-22 14:13:23 +0100 by logger.rb/v1.5.3
2026-03-22 14:13:23 +0100: Memory Usage (437292K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/frac-n-pll-vco-unic_cass/layout/LC_VCO_PLL.gds
2026-03-22 14:13:23 +0100: Memory Usage (437292K) : Ruby Version for klayout: 3.2.3
2026-03-22 14:13:23 +0100: Memory Usage (438316K) : Loading database to memory is complete.
2026-03-22 14:13:23 +0100: Memory Usage (438316K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/frac-n-pll-vco-unic_cass/layout/drc_run_LC_VCO_PLL/LC_VCO_PLL_LC_VCO_PLL_main.lyrdb
2026-03-22 14:13:23 +0100: Memory Usage (438444K) : Evaluate switches.
2026-03-22 14:13:23 +0100: Memory Usage (438444K) : tables selected: main
2026-03-22 14:13:23 +0100: Memory Usage (438444K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-22 14:13:23 +0100: Memory Usage (438444K) : deep mode is enabled.
2026-03-22 14:13:23 +0100: Memory Usage (438444K) : FEOL enabled: true
2026-03-22 14:13:23 +0100: Memory Usage (438572K) : BEOL enabled: true
2026-03-22 14:13:23 +0100: Memory Usage (438572K) : OFFGRID enabled: true
2026-03-22 14:13:23 +0100: Memory Usage (438572K) : PIN enabled: true
2026-03-22 14:13:23 +0100: Memory Usage (438572K) : FORBIDDEN enabled: true
2026-03-22 14:13:23 +0100: Memory Usage (438572K) : RECOMMENDED enabled: true
2026-03-22 14:13:23 +0100: Memory Usage (438572K) : PreCheck DRC enabled: false
2026-03-22 14:13:23 +0100: Memory Usage (438572K) : CONNECTIVITY_RULES enabled: true.
2026-03-22 14:13:23 +0100: Memory Usage (438572K) : Read in polygons from layers.
2026-03-22 14:13:23 +0100: Memory Usage (439980K) : activ_drw has 2782 polygons
2026-03-22 14:13:23 +0100: Memory Usage (439980K) : activ_pin has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (439980K) : activ_mask has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (439980K) : activ_filler has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (439980K) : activ_nofill has 1 polygons
2026-03-22 14:13:23 +0100: Memory Usage (439980K) : activ_opc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (439980K) : activ_iopc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (439980K) : activ_noqrc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440236K) : biwind_drw has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440236K) : biwind_opc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440236K) : pemwind_drw has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440236K) : gatpoly_drw has 2719 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440364K) : gatpoly_pin has 8 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440364K) : gatpoly_filler has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440492K) : gatpoly_nofill has 1 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440492K) : gatpoly_opc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440492K) : gatpoly_iopc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440620K) : gatpoly_noqrc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440748K) : cont_drw has 20657 polygons
2026-03-22 14:13:23 +0100: Memory Usage (440876K) : cont_opc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441004K) : nsd_drw has 4 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441004K) : nsd_block has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441132K) : metal1_drw has 4766 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441260K) : metal1_pin has 1752 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441388K) : metal1_mask has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441388K) : metal1_filler has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441516K) : metal1_nofill has 1 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441516K) : metal1_slit has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441772K) : metal1_text has 1645 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441772K) : metal1_opc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441900K) : metal1_noqrc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (441900K) : metal1_res has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442028K) : metal1_iprobe has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442028K) : metal1_diffprb has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442156K) : passiv_drw has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442156K) : passiv_pin has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442156K) : passiv_sbump has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442284K) : passiv_pillar has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442284K) : passiv_pdl has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442412K) : metal2_drw has 707 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442412K) : metal2_pin has 24 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442540K) : metal2_mask has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442668K) : metal2_filler has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442668K) : metal2_nofill has 1 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442668K) : metal2_slit has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442796K) : metal2_text has 23 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442796K) : metal2_opc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (442924K) : metal2_noqrc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443052K) : metal2_res has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443052K) : metal2_iprobe has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443052K) : metal2_diffprb has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443180K) : baspoly_drw has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443180K) : baspoly_pin has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443308K) : psd_drw has 1141 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443308K) : nldb_drw has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443436K) : digibnd_drw has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443436K) : via1_drw has 708 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443564K) : backmetal1_drw has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443564K) : backmetal1_pin has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443564K) : backmetal1_mask has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443692K) : backmetal1_filler has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443692K) : backmetal1_nofill has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443820K) : backmetal1_slit has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443820K) : backmetal1_text has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443948K) : backmetal1_opc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (443948K) : backmetal1_noqrc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444076K) : backmetal1_res has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444076K) : backmetal1_iprobe has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444076K) : backmetal1_diffprb has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444204K) : backpassiv_drw has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444204K) : res_drw has 35 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444332K) : sram_drw has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444332K) : trans_drw has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444460K) : ind_drw has 2 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444460K) : ind_pin has 2 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444588K) : ind_text has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444588K) : salblock_drw has 1 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444716K) : via2_drw has 596 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444844K) : metal3_drw has 223 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444972K) : metal3_pin has 13 polygons
2026-03-22 14:13:23 +0100: Memory Usage (444972K) : metal3_mask has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (445100K) : metal3_filler has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (445100K) : metal3_nofill has 1 polygons
2026-03-22 14:13:23 +0100: Memory Usage (445100K) : metal3_slit has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (445228K) : metal3_text has 12 polygons
2026-03-22 14:13:23 +0100: Memory Usage (445228K) : metal3_opc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (445356K) : metal3_noqrc has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (445356K) : metal3_res has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (445484K) : metal3_iprobe has 0 polygons
2026-03-22 14:13:23 +0100: Memory Usage (445484K) : metal3_diffprb has 0 polygons
