# Logfile created on 2026-03-22 13:36:58 +0100 by logger.rb/v1.5.3
2026-03-22 13:36:58 +0100: Memory Usage (438128K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/frac-n-pll-vco-unic_cass/layout/dsm_and_freq_divider.gds
2026-03-22 13:36:58 +0100: Memory Usage (438128K) : Ruby Version for klayout: 3.2.3
2026-03-22 13:36:58 +0100: Memory Usage (439280K) : Loading database to memory is complete.
2026-03-22 13:36:58 +0100: Memory Usage (439280K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/frac-n-pll-vco-unic_cass/layout/drc_run_dsm_and_freq_divider/dsm_and_freq_divider_dsm_and_freq_divider_main.lyrdb
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : Evaluate switches.
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : tables selected: main
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : deep mode is enabled.
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : FEOL enabled: true
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : BEOL enabled: true
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : OFFGRID enabled: true
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : PIN enabled: true
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : FORBIDDEN enabled: true
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : RECOMMENDED enabled: true
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : PreCheck DRC enabled: false
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : CONNECTIVITY_RULES enabled: true.
2026-03-22 13:36:58 +0100: Memory Usage (439408K) : Read in polygons from layers.
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : activ_drw has 2432 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : activ_pin has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : activ_mask has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : activ_filler has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : activ_nofill has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : activ_opc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : activ_iopc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : activ_noqrc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : biwind_drw has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : biwind_opc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : pemwind_drw has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : gatpoly_drw has 2259 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : gatpoly_pin has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : gatpoly_filler has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440560K) : gatpoly_nofill has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440816K) : gatpoly_opc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440816K) : gatpoly_iopc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440816K) : gatpoly_noqrc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440944K) : cont_drw has 16832 polygons
2026-03-22 13:36:58 +0100: Memory Usage (440944K) : cont_opc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441072K) : nsd_drw has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441072K) : nsd_block has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441200K) : metal1_drw has 3926 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441200K) : metal1_pin has 1616 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441328K) : metal1_mask has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441328K) : metal1_filler has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441456K) : metal1_nofill has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441456K) : metal1_slit has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441840K) : metal1_text has 1605 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441840K) : metal1_opc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441968K) : metal1_noqrc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441968K) : metal1_res has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (441968K) : metal1_iprobe has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442096K) : metal1_diffprb has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442096K) : passiv_drw has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442224K) : passiv_pin has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442224K) : passiv_sbump has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442352K) : passiv_pillar has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442352K) : passiv_pdl has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442352K) : metal2_drw has 617 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442480K) : metal2_pin has 1 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442608K) : metal2_mask has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442608K) : metal2_filler has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442736K) : metal2_nofill has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442864K) : metal2_slit has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442864K) : metal2_text has 1 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442864K) : metal2_opc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442992K) : metal2_noqrc has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (442992K) : metal2_res has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (443120K) : metal2_iprobe has 0 polygons
2026-03-22 13:36:58 +0100: Memory Usage (443120K) : metal2_diffprb has 0 polygons
