vctrl_V,freq_Hz,power_W,swing_Vpp
0.0,2.325503e+09,1.003990e-03,0.7366
0.1,2.328281e+09,1.005320e-03,0.7379
0.2,2.331671e+09,1.004630e-03,0.7394
0.3,2.335908e+09,1.004950e-03,0.7412
0.4,2.341145e+09,1.004270e-03,0.7434
0.5,2.347611e+09,1.005230e-03,0.7461
0.6,2.355607e+09,1.004700e-03,0.7492
0.7,2.365198e+09,1.005910e-03,0.7528
0.8,2.376307e+09,1.006530e-03,0.7567
0.9,2.388539e+09,1.005600e-03,0.7607
1.0,2.401211e+09,1.006870e-03,0.7648
1.1,2.413756e+09,1.006440e-03,0.7690
1.2,2.425601e+09,1.007980e-03,0.7732
