vctrl_V,freq_Hz,power_W,swing_Vpp
0.0,2.384046e+09,9.247770e-04,0.7543
0.1,2.386985e+09,9.246040e-04,0.7557
0.2,2.390569e+09,9.238340e-04,0.7575
0.3,2.395083e+09,9.244710e-04,0.7596
0.4,2.400600e+09,9.246800e-04,0.7623
0.5,2.407501e+09,9.252840e-04,0.7655
0.6,2.415955e+09,9.247020e-04,0.7694
0.7,2.426213e+09,9.244110e-04,0.7737
0.8,2.438014e+09,9.250520e-04,0.7785
0.9,2.450905e+09,9.243110e-04,0.7834
1.0,2.464393e+09,9.243910e-04,0.7884
1.1,2.477802e+09,9.250110e-04,0.7933
1.2,2.490582e+09,9.245080e-04,0.7982
